,0
0,ISIC_0005707_segmentation.png
1,ISIC_0001058_segmentation.png
2,ISIC_0007369_segmentation.png
3,ISIC_0011242_segmentation.png
4,ISIC_0013433_segmentation.png
5,ISIC_0001317_segmentation.png
6,ISIC_0007471_segmentation.png
7,ISIC_0008511_segmentation.png
8,ISIC_0003291_segmentation.png
9,ISIC_0012804_segmentation.png
10,ISIC_0011332_segmentation.png
11,ISIC_0005294_segmentation.png
12,ISIC_0000059_segmentation.png
13,ISIC_0008241_segmentation.png
14,ISIC_0004162_segmentation.png
15,ISIC_0002752_segmentation.png
16,ISIC_0001350_segmentation.png
17,ISIC_0003249_segmentation.png
18,ISIC_0010018_segmentation.png
19,B774a_segmentation.png
20,ISIC_0002115_segmentation.png
21,ISIC_0004797_segmentation.png
22,ISIC_0001486_segmentation.png
23,ISIC_0009344_segmentation.png
24,ISIC_0004925_segmentation.png
25,ISIC_0013580_segmentation.png
26,ISIC_0002693_segmentation.png
27,ISIC_0001396_segmentation.png
28,ISIC_0010727_segmentation.png
29,P365e_segmentation.png
30,ISIC_0009108_segmentation.png
31,ISIC_0007519_segmentation.png
32,ISIC_0002493_segmentation.png
33,ISIC_0001351_segmentation.png
34,ISIC_0005238_segmentation.png
35,ISIC_0012950_segmentation.png
36,ISIC_0008827_segmentation.png
37,ISIC_0005074_segmentation.png
38,ISIC_0009101_segmentation.png
39,ISIC_0012889_segmentation.png
40,ISIC_0006908_segmentation.png
41,ISIC_0002389_segmentation.png
42,ISIC_0010077_segmentation.png
43,ISIC_0008478_segmentation.png
44,ISIC_0010745_segmentation.png
45,ISIC_0008270_segmentation.png
46,ISIC_0000339_segmentation.png
47,ISIC_0002297_segmentation.png
48,ISIC_0006285_segmentation.png
49,ISIC_0004836_segmentation.png
50,ISIC_0009554_segmentation.png
51,ISIC_0011540_segmentation.png
52,ISIC_0010062_segmentation.png
53,ISIC_0007844_segmentation.png
54,ISIC_0006774_segmentation.png
55,ISIC_0010698_segmentation.png
56,ISIC_0009094_segmentation.png
57,ISIC_0011651_segmentation.png
58,ISIC_0002949_segmentation.png
59,ISIC_0003240_segmentation.png
60,ISIC_0009468_segmentation.png
61,ISIC_0014272_segmentation.png
62,ISIC_0007166_segmentation.png
63,ISIC_0005641_segmentation.png
64,ISIC_0011162_segmentation.png
65,ISIC_0011406_segmentation.png
66,ISIC_0015233_segmentation.png
67,ISIC_0000135_segmentation.png
68,ISIC_0004168_segmentation.png
69,D239b_segmentation.png
70,ISIC_0008034_segmentation.png
71,ISIC_0008520_segmentation.png
